,director_name,id
1501,Rupert Wainwright,11809.0
1503,John Luessenhop,97026.0
1504,Justin Zackham,52599.0
1511,John Gatins,53176.0
1517,Miguel Sapochnik,114404.0
1518,Shim Hyung-Rae,64331.0
1520,Don Scardino,93419.0
1522,Tim Robbins,504.0
1524,Tom Reeve,43673.0
1526,Nanette Burstein,96439.0
1528,Ariel Vromen,81476.0
1531,Lewis Gilbert,10076.0
1536,John Francis Daley,52935.0
1540,J.B. Rogers,7409.0
1543,Michael Sucsy,566328.0
1544,Tom Vaughan,56717.0
1555,Stephen Hillenburg,70651.0
1562,Stig Bergqvist,80540.0
1565,Jason Reitman,52443.0
1566,Alexander Payne,13235.0
1567,Jonathan Levine,56661.0
1568,Rian Johnson,67367.0
1570,Chris Noonan,58137.0
1574,Michael McCullers,14172.0
1575,Forest Whitaker,2178.0
1579,Woody Allen,1243.0
1580,Peter Lepeniotis,1262197.0
1581,Ted Demme,34849.0
1583,William Shatner,1748.0
1595,James Gartner,60496.0
1599,Lee Toland Krieger,109745.0
1600,Tim McCanlies,77919.0
1605,Drew Goddard,47506.0
1606,Jason Friedberg,35694.0
1608,Paul Michael Glaser,12988.0
1611,John R. Leonetti,26714.0
1612,Tom Hanks,31.0
1613,Kimberly Peirce,2836.0
1614,Liz Friedlander,60024.0
1615,Phil Joanou,18500.0
1617,Shane Acker,71923.0
1619,Martha Coolidge,63713.0
1620,Stephen Anderson,227438.0
1621,Troy Miller,58868.0
1623,Tate Taylor,55789.0
1625,Brett Leonard,57090.0
1628,Alister Grierson,59126.0
1629,Nick Hurran,42274.0
1631,Charles Stone III,80215.0
1632,Paul Haggis,455.0
1633,Kurt Wimmer,13927.0
1634,Jean-François Richet,58324.0
1636,Kevin Hooks,40230.0
1637,Ellory Elkayem,56150.0
1640,Niki Caro,15287.0
1642,Vincenzo Natali,5877.0
1643,Willard Huyck,686.0
1644,Gavin O'Connor,77003.0
1645,Bruce Hunt,44179.0
1650,Christopher Roberts,20305.0
1653,Kim Jee-woon,543568.0
1654,Nick Hamm,6361.0
1655,Andy Cadiff,80307.0
1656,Mike Disa,108952.0
1659,Richard J. Lewis,137475.0
1663,Sergio Leone,4385.0
1664,Niels Arden Oplev,19346.0
1665,Michael Radford,28898.0
1667,Steve Boyum,72258.0
1669,Chen Kaige,20640.0
1670,Corey Yuen Kwai,35452.0
1671,Andrew Dominik,37618.0
1672,Jackie Chan,18897.0
1673,Laurent Tirard,64575.0
1676,Reinhard Klooss,57035.0
1678,Frédéric Auburtin,21126.0
1679,Olivier Dahan,16919.0
1680,Maksim Fadeev,1565981.0
1681,Liliana Cavani,67750.0
1683,Elizabeth Banks,9281.0
1685,Edward Norton,819.0
1690,Ben Falcone,170820.0
1691,Richard Attenborough,4786.0
1693,Don Mancini,65677.0
1694,John Maybury,40307.0
1698,Norton Virgien,86439.0
1709,Shinji Aramaki,70100.0
1723,Miguel Arteta,61069.0
1728,James Gray,20561.0
1729,Janusz Kamiński,492.0
1739,Robert B. Weide,74159.0
1740,Jeff Wadlow,55075.0
1741,Agustín Díaz Yanes,127823.0
1742,Camille Delamarre,928490.0
1747,David Lean,12238.0
1748,Richard Eyre,36693.0
1750,Nicholas Meyer,1788.0
1751,Callie Khouri,17397.0
1754,Sanaa Hamri,64140.0
1755,Todd Graff,18342.0
1759,Philip Kaufman,648.0
1763,Saul Dibb,73460.0
1764,Walter Murch,154.0
1765,Richard Linklater,564.0
1767,E. Elias Merhige,17279.0
1768,Menno Meyjes,736.0
1770,Jodie Foster,1038.0
1781,Scott Frank,2199.0
1797,Kevin Allen,36083.0
1799,Michael Cristofer,21136.0
1802,Andrew Morahan,53599.0
1803,Bob Rafelson,19450.0
1804,Michael Cohn,56956.0
1807,Alan Shapiro,129941.0
